id,name,category,used,capacity,utilization_pct,status
1,Zone A (Cold),COLD,420,500,84.0,NORMAL
2,Zone B (Bulk),BULK,880,900,97.8,CRITICAL
3,Zone C (Picking),PICKING,150,1000,15.0,NORMAL
4,Zone D (Haz),HAZ,45,100,45.0,NORMAL
5,Zone E (Sorting),SORTING,290,400,72.5,NORMAL
6,Zone F (Dispatch),DISPATCH,580,600,96.7,CRITICAL
7,Storage A-1,STATIC STORAGE,920,1000,92.0,CRITICAL
8,Storage A-2,STATIC STORAGE,880,1000,88.0,WARNING
9,Storage B-1,COLD STORAGE,300,1000,30.0,NORMAL
10,Storage B-2,COLD STORAGE,955,1000,95.5,CRITICAL
11,Inbound Alpha,LOADING,450,1000,45.0,NORMAL
12,Outbound Beta,LOADING,780,1000,78.0,WARNING
13,Picking Lane 1,PICKING,650,1000,65.0,NORMAL
14,QC Station 4,QUALITY CONTROL,120,1000,12.0,NORMAL
